Cliente,Genero,Aposentado,Casado,Dependentes,T_Empregado,ServiçoLinha,MultiplasLinhas,ServicoInternet,SegurancaOnline,OnlineBackup,ProtecaoEquip,SeguroAdicional,StreamingTV,FilmesStreaming,TIpoContrato,ContaImpresso,MetodoPagamento,ValorPlano,ContaTotal,Churn
"4124-MMETB,""Masculino"",0,""nao"",""nao"",22,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Cartao de Credito"",94.650000,2104.550000,""sim"""
"3671-SHRSP,""Masculino"",0,""sim"",""nao"",4,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""sim"",""sim"",""nao"",""nao"",""Pre-pago"",""sim"",""Conta Correio"",80.600000,319.150000,""sim"""
"0979-MOZQI,""Masculino"",0,""sim"",""nao"",62,""nao"",""Sem servicos"",""DSL"",""nao"",""nao"",""nao"",""sim"",""sim"",""nao"",""Fidelizacao"",""sim"",""Transferencia"",39.000000,2337.450000,""nao"""
"2732-ISEZX,""Feminino"",0,""nao"",""nao"",5,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""sim"",""Conta Correio"",20.500000,104.300000,""nao"""
"3313-QKNKB,""Masculino"",0,""sim"",""nao"",59,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""sim"",""Pos-pago"",""nao"",""Debito na conta"",85.550000,5084.650000,""sim"""
"0323-XWWTN,""Masculino"",0,""nao"",""sim"",3,""sim"",""sim"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""sim"",""Conta Correio"",26.400000,121.250000,""nao"""
"1937-OTUKY,""Feminino"",0,""sim"",""nao"",72,""sim"",""sim"",""Fibra otica"",""sim"",""nao"",""sim"",""sim"",""sim"",""nao"",""Fidelizacao"",""sim"",""Transferencia"",98.200000,7015.900000,""nao"""
"1573-LGXBA,""Masculino"",0,""sim"",""sim"",57,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""sim"",""sim"",""Pos-pago"",""sim"",""Cartao de Credito"",97.550000,5598.000000,""nao"""
"1764-VUUMT,""Masculino"",0,""nao"",""sim"",66,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""nao"",""Cartao de Credito"",19.950000,1269.100000,""nao"""
"5073-WXOYN,""Feminino"",0,""nao"",""nao"",60,""nao"",""Sem servicos"",""DSL"",""nao"",""sim"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",50.800000,3027.400000,""sim"""
"4713-ZBURT,""Masculino"",0,""nao"",""sim"",45,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""sim"",""sim"",""Fidelizacao"",""nao"",""Transferencia"",99.700000,4634.350000,""nao"""
"3050-GBUSH,""Feminino"",0,""nao"",""nao"",3,""nao"",""Sem servicos"",""DSL"",""nao"",""nao"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Cartao de Credito"",34.800000,113.950000,""nao"""
"0207-MDKNV,""Feminino"",0,""nao"",""nao"",15,""sim"",""nao"",""Fibra otica"",""sim"",""nao"",""sim"",""sim"",""sim"",""sim"",""Pre-pago"",""nao"",""Debito na conta"",105.100000,1582.750000,""sim"""
"7876-AEHIG,""Feminino"",0,""nao"",""sim"",51,""nao"",""Sem servicos"",""DSL"",""sim"",""nao"",""sim"",""sim"",""sim"",""sim"",""Pos-pago"",""nao"",""Transferencia"",60.150000,3077.000000,""nao"""
"7945-HLKEA,""Feminino"",0,""nao"",""nao"",60,""sim"",""sim"",""DSL"",""sim"",""nao"",""sim"",""sim"",""nao"",""nao"",""Pos-pago"",""nao"",""Debito na conta"",64.750000,4039.500000,""nao"""
"9342-VNIMQ,""Masculino"",0,""nao"",""nao"",33,""sim"",""sim"",""DSL"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Transferencia"",54.650000,1665.200000,""nao"""
"9851-KIELU,""Masculino"",0,""nao"",""nao"",10,""sim"",""nao"",""Fibra otica"",""sim"",""sim"",""sim"",""sim"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",110.100000,1043.300000,""sim"""
"3523-BRGUW,""Masculino"",1,""nao"",""nao"",26,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pos-pago"",""nao"",""Cartao de Credito"",19.300000,504.200000,""nao"""
"3908-BLSYF,""Feminino"",0,""nao"",""nao"",6,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""nao"",""sim"",""Pre-pago"",""nao"",""Debito na conta"",83.900000,497.550000,""sim"""
"3199-NPKCN,""Feminino"",0,""sim"",""nao"",67,""sim"",""sim"",""Fibra otica"",""sim"",""nao"",""sim"",""sim"",""sim"",""sim"",""Pos-pago"",""sim"",""Debito na conta"",111.250000,7511.650000,""nao"""
"5170-PTRKA,""Feminino"",0,""sim"",""sim"",49,""nao"",""Sem servicos"",""DSL"",""sim"",""nao"",""nao"",""sim"",""nao"",""nao"",""Pos-pago"",""sim"",""Cartao de Credito"",35.800000,1782.000000,""nao"""
"4661-NJEUX,""Masculino"",0,""nao"",""nao"",1,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""sim"",""Conta Correio"",20.050000,20.050000,""nao"""
"2123-AGEEN,""Feminino"",1,""nao"",""nao"",7,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",84.350000,609.650000,""nao"""
"1258-YMZNM,""Feminino"",1,""nao"",""nao"",27,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""sim"",""nao"",""sim"",""sim"",""Pos-pago"",""sim"",""Transferencia"",110.500000,2857.600000,""nao"""
"0048-LUMLS,""Masculino"",0,""sim"",""sim"",37,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pos-pago"",""nao"",""Cartao de Credito"",91.200000,3247.550000,""nao"""
"7549-MYGPK,""Feminino"",0,""sim"",""sim"",63,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""sim"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",100.550000,6215.350000,""sim"""
"5898-IGSLP,""Masculino"",0,""sim"",""sim"",31,""sim"",""sim"",""Fibra otica"",""sim"",""nao"",""sim"",""sim"",""nao"",""nao"",""Pre-pago"",""nao"",""Debito na conta"",89.300000,2823.000000,""nao"""
"3804-RVTGV,""Masculino"",0,""sim"",""sim"",50,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Transferencia"",103.850000,5017.900000,""sim"""
"6259-WJQLC,""Masculino"",1,""nao"",""nao"",32,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Cartao de Credito"",81.100000,2619.250000,""nao"""
"9227-LUNBG,""Feminino"",0,""nao"",""nao"",1,""nao"",""Sem servicos"",""DSL"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Debito na conta"",24.600000,24.600000,""sim"""
"7997-EASSD,""Feminino"",0,""sim"",""nao"",63,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""sim"",""nao"",""nao"",""Pos-pago"",""sim"",""Cartao de Credito"",81.200000,4965.100000,""nao"""
"0730-KOAVE,""Masculino"",0,""nao"",""nao"",30,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""nao"",""nao"",""nao"",""sim"",""Pre-pago"",""sim"",""Cartao de Credito"",94.300000,2679.700000,""nao"""
"8975-SKGRX,""Masculino"",0,""sim"",""nao"",71,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Transferencia"",116.100000,8310.550000,""nao"""
"0678-RLHVP,""Feminino"",0,""nao"",""nao"",53,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""sim"",""sim"",""Fidelizacao"",""nao"",""Debito na conta"",105.550000,5682.250000,""nao"""
"4315-MURBD,""Feminino"",0,""nao"",""nao"",12,""sim"",""nao"",""Fibra otica"",""sim"",""nao"",""nao"",""sim"",""sim"",""sim"",""Pre-pago"",""sim"",""Transferencia"",98.900000,1120.950000,""sim"""
"2267-FPIMA,""Masculino"",0,""sim"",""nao"",50,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""nao"",""nao"",""nao"",""sim"",""Pre-pago"",""sim"",""Cartao de Credito"",94.400000,4914.900000,""nao"""
"1051-GEJLJ,""Feminino"",0,""nao"",""nao"",2,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""nao"",""Conta Correio"",19.500000,27.550000,""nao"""
"9734-YWGEX,""Feminino"",0,""nao"",""nao"",9,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""nao"",""Cartao de Credito"",98.300000,923.500000,""sim"""
"2719-BDAQO,""Masculino"",0,""nao"",""nao"",17,""sim"",""nao"",""Fibra otica"",""sim"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""nao"",""Debito na conta"",93.850000,1625.650000,""sim"""
"5285-MVEHD,""Feminino"",0,""sim"",""nao"",56,""sim"",""nao"",""Fibra otica"",""sim"",""sim"",""sim"",""nao"",""sim"",""sim"",""Pos-pago"",""sim"",""Cartao de Credito"",105.600000,6068.650000,""nao"""
"0379-DJQHR,""Masculino"",0,""sim"",""sim"",67,""sim"",""nao"",""DSL"",""sim"",""sim"",""sim"",""nao"",""sim"",""sim"",""Fidelizacao"",""nao"",""Cartao de Credito"",81.350000,5398.600000,""nao"""
"0781-LKXBR,""Masculino"",1,""nao"",""nao"",9,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",100.500000,918.600000,""sim"""
"5543-QDCRY,""Masculino"",0,""nao"",""nao"",4,""sim"",""nao"",""DSL"",""nao"",""nao"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",56.400000,234.850000,""nao"""
"0297-RBCSG,""Masculino"",0,""nao"",""nao"",19,""sim"",""nao"",""DSL"",""nao"",""sim"",""nao"",""sim"",""nao"",""sim"",""Pos-pago"",""sim"",""Transferencia"",65.350000,1231.850000,""nao"""
"4694-PHWFW,""Feminino"",0,""nao"",""sim"",8,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""nao"",""Conta Correio"",19.950000,170.900000,""nao"""
"0835-JKADZ,""Feminino"",0,""nao"",""nao"",71,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Debito na conta"",111.250000,7984.150000,""nao"""
"1907-UBQFC,""Masculino"",1,""nao"",""nao"",10,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",72.850000,688.650000,""sim"""
"7508-SMHXL,""Feminino"",1,""nao"",""nao"",15,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""nao"",""Cartao de Credito"",89.000000,1288.300000,""nao"""
"3865-YIOTT,""Masculino"",0,""sim"",""sim"",72,""sim"",""sim"",""Fibra otica"",""sim"",""nao"",""sim"",""nao"",""sim"",""sim"",""Pos-pago"",""sim"",""Transferencia"",106.100000,7848.500000,""nao"""
"5993-BQHEA,""Masculino"",0,""nao"",""nao"",12,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pos-pago"",""nao"",""Cartao de Credito"",20.050000,267.000000,""nao"""
"6024-RUGGH,""Masculino"",0,""sim"",""sim"",72,""sim"",""sim"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""sim"",""Transferencia"",25.200000,1798.900000,""nao"""
"6513-EECDB,""Masculino"",1,""sim"",""nao"",1,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",73.550000,73.550000,""sim"""
"3956-CJUST,""Feminino"",1,""nao"",""nao"",23,""sim"",""nao"",""Fibra otica"",""sim"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Transferencia"",75.400000,1643.550000,""nao"""
"4079-WWQQQ,""Masculino"",0,""nao"",""nao"",72,""nao"",""Sem servicos"",""DSL"",""sim"",""sim"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Transferencia"",65.550000,4807.450000,""nao"""
"6103-BOCOU,""Feminino"",0,""nao"",""nao"",26,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",80.700000,2193.000000,""nao"""
"5149-TGWDZ,""Feminino"",0,""nao"",""nao"",21,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""sim"",""sim"",""sim"",""sim"",""Pos-pago"",""sim"",""Conta Correio"",104.550000,2239.400000,""nao"""
"7471-WNSUF,""Masculino"",0,""sim"",""nao"",60,""sim"",""sim"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pos-pago"",""nao"",""Transferencia"",24.150000,1505.900000,""nao"""
"8942-DBMHZ,""Masculino"",0,""nao"",""nao"",12,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""nao"",""Conta Correio"",20.450000,255.350000,""nao"""
"4301-VVZKA,""Masculino"",0,""sim"",""nao"",16,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",75.400000,1189.400000,""nao"""
"9199-PWQVC,""Feminino"",0,""sim"",""nao"",63,""sim"",""sim"",""DSL"",""sim"",""sim"",""nao"",""nao"",""sim"",""sim"",""Pos-pago"",""sim"",""Cartao de Credito"",79.700000,4786.150000,""nao"""
"4824-GUCBY,""Feminino"",1,""nao"",""nao"",22,""sim"",""nao"",""Fibra otica"",""sim"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Debito na conta"",81.700000,1820.900000,""nao"""
"5393-HJZSM,""Feminino"",0,""sim"",""sim"",32,""sim"",""nao"",""DSL"",""sim"",""sim"",""sim"",""sim"",""nao"",""sim"",""Pre-pago"",""nao"",""Transferencia"",76.300000,2404.150000,""nao"""
"7074-IEVOJ,""Feminino"",1,""nao"",""nao"",3,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",79.400000,205.050000,""sim"""
"9625-QSTYE,""Feminino"",0,""nao"",""nao"",13,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",81.150000,952.300000,""sim"""
"0862-PRCBS,""Feminino"",0,""sim"",""sim"",68,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""nao"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Cartao de Credito"",103.750000,7039.450000,""nao"""
"8812-ZRHFP,""Feminino"",0,""sim"",""sim"",30,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""nao"",""sim"",""Pos-pago"",""nao"",""Debito na conta"",86.450000,2538.050000,""nao"""
"5146-CBVOE,""Feminino"",0,""nao"",""nao"",16,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Transferencia"",75.100000,1212.850000,""nao"""
"0454-OKRCT,""Masculino"",0,""nao"",""nao"",33,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""nao"",""sim"",""nao"",""nao"",""Fidelizacao"",""nao"",""Transferencia"",80.600000,2651.100000,""nao"""
"5787-KXGIY,""Masculino"",0,""sim"",""nao"",72,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""nao"",""Cartao de Credito"",19.300000,1304.800000,""nao"""
"4750-ZRXIU,""Feminino"",1,""nao"",""nao"",4,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",84.600000,360.100000,""sim"""
"4198-VFOEA,""Feminino"",0,""nao"",""nao"",12,""nao"",""Sem servicos"",""DSL"",""sim"",""nao"",""nao"",""sim"",""nao"",""nao"",""Pos-pago"",""sim"",""Conta Correio"",33.600000,435.450000,""nao"""
"6630-UJZMY,""Feminino"",1,""sim"",""nao"",4,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",83.250000,308.050000,""nao"""
"5709-LVOEQ,""Feminino"",0,""sim"",""sim"",0,""sim"",""nao"",""DSL"",""sim"",""sim"",""sim"",""nao"",""sim"",""sim"",""Fidelizacao"",""nao"",""Conta Correio"",80.850000,,""nao"""
"6400-BWQKW,""Feminino"",0,""nao"",""nao"",6,""sim"",""sim"",""Fibra otica"",""sim"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",79.050000,434.500000,""sim"""
"2692-AQCPF,""Feminino"",0,""sim"",""nao"",65,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""sim"",""sim"",""sim"",""sim"",""Pos-pago"",""sim"",""Cartao de Credito"",108.050000,7118.900000,""nao"""
"0347-UBKUZ,""Feminino"",0,""nao"",""nao"",15,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""nao"",""Conta Correio"",19.900000,320.450000,""nao"""
"0835-DUUIQ,""Feminino"",0,""nao"",""sim"",24,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pos-pago"",""nao"",""Transferencia"",21.050000,531.550000,""nao"""
"0811-GSDTP,""Feminino"",0,""nao"",""sim"",13,""nao"",""Sem servicos"",""DSL"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Debito na conta"",30.150000,382.200000,""nao"""
"7567-ECMCM,""Masculino"",0,""nao"",""nao"",24,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""sim"",""Pre-pago"",""sim"",""Cartao de Credito"",79.850000,2001.000000,""nao"""
"6115-ZTBFQ,""Feminino"",0,""sim"",""nao"",72,""nao"",""Sem servicos"",""DSL"",""sim"",""sim"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""nao"",""Transferencia"",65.500000,4919.700000,""nao"""
"6353-BRMMA,""Feminino"",0,""sim"",""sim"",54,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Transferencia"",104.100000,5645.800000,""nao"""
"6680-WKXRZ,""Feminino"",0,""nao"",""nao"",3,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Transferencia"",74.400000,215.800000,""sim"""
"6231-WFGFH,""Masculino"",0,""sim"",""sim"",4,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""sim"",""Conta Correio"",20.500000,77.600000,""nao"""
"9904-EHEVJ,""Feminino"",1,""sim"",""sim"",32,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Conta Correio"",91.350000,2896.550000,""nao"""
"7028-DVOIQ,""Masculino"",1,""nao"",""nao"",35,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""sim"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",99.050000,3395.800000,""sim"""
"6169-PPETC,""Masculino"",0,""sim"",""sim"",35,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""nao"",""Transferencia"",20.500000,759.350000,""nao"""
"4208-UFFGW,""Masculino"",1,""nao"",""nao"",2,""sim"",""nao"",""DSL"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Conta Correio"",44.950000,85.150000,""sim"""
"8584-KMVXD,""Feminino"",0,""nao"",""nao"",8,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Debito na conta"",75.600000,535.550000,""nao"""
"8467-WYNSR,""Masculino"",0,""nao"",""nao"",22,""sim"",""nao"",""DSL"",""sim"",""nao"",""nao"",""sim"",""nao"",""nao"",""Pre-pago"",""nao"",""Conta Correio"",55.100000,1253.150000,""nao"""
"0851-DFJKB,""Feminino"",0,""nao"",""nao"",15,""sim"",""nao"",""DSL"",""sim"",""nao"",""sim"",""sim"",""nao"",""nao"",""Pre-pago"",""nao"",""Debito na conta"",58.950000,955.150000,""nao"""
"5382-SOYZL,""Masculino"",0,""nao"",""nao"",22,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",95.100000,2162.600000,""nao"""
"9448-REEVD,""Masculino"",0,""sim"",""nao"",1,""sim"",""nao"",""DSL"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Cartao de Credito"",44.700000,44.700000,""sim"""
"3261-CQXOL,""Feminino"",0,""sim"",""sim"",71,""sim"",""sim"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Fidelizacao"",""nao"",""Transferencia"",25.450000,1813.350000,""nao"""
"8388-FYNPZ,""Masculino"",0,""nao"",""nao"",4,""sim"",""nao"",""DSL"",""sim"",""nao"",""sim"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Debito na conta"",56.750000,245.150000,""nao"""
"4002-BQWPQ,""Masculino"",0,""nao"",""nao"",25,""sim"",""sim"",""DSL"",""sim"",""sim"",""sim"",""sim"",""nao"",""sim"",""Pre-pago"",""nao"",""Transferencia"",81.750000,2028.800000,""nao"""
"5651-YLPRD,""Feminino"",0,""sim"",""sim"",32,""sim"",""nao"",""Fibra otica"",""nao"",""sim"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",86.100000,2723.750000,""nao"""
"2826-DXLQO,""Masculino"",1,""sim"",""nao"",7,""nao"",""Sem servicos"",""DSL"",""sim"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Transferencia"",29.800000,220.450000,""nao"""
"4378-BZYFP,""Masculino"",0,""nao"",""nao"",17,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pos-pago"",""sim"",""Conta Correio"",20.500000,365.800000,""nao"""
"9489-UTFKA,""Masculino"",1,""sim"",""nao"",8,""sim"",""nao"",""DSL"",""sim"",""nao"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""nao"",""Transferencia"",60.900000,551.950000,""nao"""
"4849-PYRLQ,""Feminino"",1,""nao"",""nao"",56,""sim"",""sim"",""DSL"",""sim"",""nao"",""sim"",""sim"",""nao"",""sim"",""Fidelizacao"",""nao"",""Transferencia"",73.250000,4054.200000,""nao"""
"9117-SHLZX,""Masculino"",0,""nao"",""nao"",1,""sim"",""nao"",""DSL"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Conta Correio"",45.700000,45.700000,""sim"""
"9889-TMAHG,""Masculino"",1,""nao"",""nao"",8,""sim"",""nao"",""Fibra otica"",""sim"",""nao"",""nao"",""sim"",""sim"",""sim"",""Pre-pago"",""nao"",""Cartao de Credito"",100.300000,832.350000,""sim"""
"4541-RMRLG,""Masculino"",0,""nao"",""nao"",7,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""nao"",""Debito na conta"",19.250000,112.300000,""sim"""
"7764-BDPEE,""Masculino"",0,""nao"",""sim"",3,""sim"",""nao"",""nao"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Combo"",""Pre-pago"",""nao"",""Conta Correio"",20.850000,60.650000,""nao"""
"3429-IFLEM,""Feminino"",0,""nao"",""nao"",71,""sim"",""nao"",""DSL"",""sim"",""sim"",""sim"",""sim"",""sim"",""nao"",""Fidelizacao"",""nao"",""Cartao de Credito"",77.350000,5550.100000,""nao"""
"3158-MOERK,""Feminino"",0,""nao"",""nao"",2,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""sim"",""Debito na conta"",96.000000,174.800000,""sim"""
"7294-TMAOP,""Feminino"",0,""nao"",""nao"",1,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""sim"",""sim"",""Pre-pago"",""nao"",""Debito na conta"",90.550000,90.550000,""sim"""
"5002-GCQFH,""Masculino"",0,""sim"",""nao"",49,""sim"",""sim"",""Fibra otica"",""sim"",""sim"",""nao"",""nao"",""sim"",""nao"",""Pre-pago"",""sim"",""Transferencia"",93.850000,4733.100000,""nao"""
"0556-FJEGU,""Masculino"",0,""nao"",""nao"",58,""sim"",""nao"",""DSL"",""nao"",""sim"",""sim"",""sim"",""sim"",""nao"",""Fidelizacao"",""nao"",""Transferencia"",70.100000,4048.950000,""nao"""
"8919-FYFQZ,""Masculino"",1,""sim"",""nao"",44,""nao"",""Sem servicos"",""DSL"",""nao"",""sim"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",30.350000,1359.700000,""sim"""
"0604-THJFP,""Feminino"",0,""sim"",""sim"",59,""sim"",""nao"",""DSL"",""nao"",""sim"",""nao"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Cartao de Credito"",75.950000,4542.350000,""nao"""
"2834-JRTUA,""Masculino"",0,""nao"",""nao"",71,""sim"",""sim"",""Fibra otica"",""sim"",""nao"",""sim"",""sim"",""sim"",""sim"",""Fidelizacao"",""sim"",""Debito na conta"",108.050000,7532.150000,""sim"""
"5875-YPQFJ,""Masculino"",0,""nao"",""nao"",1,""sim"",""nao"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""sim"",""Debito na conta"",69.900000,69.900000,""sim"""
"5879-SESNB,""Feminino"",0,""nao"",""nao"",11,""sim"",""sim"",""Fibra otica"",""nao"",""nao"",""nao"",""nao"",""nao"",""nao"",""Pre-pago"",""nao"",""Debito na conta"",75.250000,888.650000,""nao"""
"6646-QVXLR,""Masculino"",1,""sim"",""nao"",62,""sim"",""sim"",""Fibra otica"",""nao"",""sim"",""sim"",""nao"",""sim"",""sim"",""Pos-pago"",""sim"",""Debito na conta"",103.750000,6383.350000,""sim"""
