"Fidelidade","Cerveja","Vinho","Refrigerante","Peixe","Confeitaria"
"72900","F","F","F","T","F"
"29343","F","T","F","F","T"
"109884","F","F","T","T","T"
"32160","T","F","F","F","T"
"59297","T","T","F","F","T"
"101544","F","F","F","F","F"
"94004","T","F","F","F","F"
"91074","F","F","F","F","F"
"78302","F","F","F","F","F"
"65006","F","F","T","T","F"
"27496","T","F","F","F","T"
"27306","T","F","T","F","T"
"108855","F","T","T","T","T"
"30423","F","F","T","F","T"
"14015","F","F","F","F","T"
"19211","T","F","F","F","T"
"18917","T","F","F","F","T"
"68104","T","F","F","T","F"
"109425","F","T","F","F","F"
"55550","F","T","F","F","F"
"14514","F","F","T","F","F"
"103087","T","T","F","F","F"
"56885","T","F","T","F","T"
"41866","F","F","F","F","F"
"69372","F","F","F","F","T"
"105429","F","F","F","F","F"
"15317","F","F","F","F","F"
"68156","T","F","T","F","F"
"104971","F","T","T","F","T"
"78626","F","F","F","F","F"
"60153","T","T","F","F","F"
"80728","F","F","F","F","T"
"100553","F","T","T","F","F"
"43962","F","F","F","T","F"
"78357","F","F","F","F","F"
"82796","F","F","F","F","F"
"40459","F","T","F","F","T"
"106499","T","F","F","F","F"
"109224","T","F","F","T","F"
"32182","T","F","F","F","F"
"100393","F","F","F","T","T"
"26061","T","F","F","T","F"
"47330","F","T","F","F","T"
"94864","F","T","F","F","F"
"28959","F","F","F","F","F"
"54462","T","T","F","F","F"
"63880","F","F","F","T","F"
"104630","F","T","F","F","T"
"11565","F","T","F","T","F"
"93527","T","T","F","F","F"
"88812","T","F","F","F","F"
"61107","F","F","F","F","F"
"104722","T","F","F","F","F"
"10915","F","F","F","T","F"
"33056","F","F","F","F","F"
"78967","T","F","F","F","F"
"81825","F","F","F","T","F"
"51846","F","F","F","T","F"
"58288","F","F","F","F","F"
"30459","F","T","F","T","T"
"70018","T","T","F","T","T"
"62789","T","F","F","F","F"
"102887","F","F","F","F","F"
"83102","T","F","F","T","F"
"57268","F","F","T","F","F"
"78139","F","F","F","F","F"
"86331","T","F","F","T","T"
"31384","F","F","F","F","F"
"63996","F","F","F","T","F"
"99025","F","F","F","F","F"
"95921","F","T","F","F","T"
"99164","F","F","T","F","T"
